Number,Station,Catchment,Zone,Time stamp (Sampling),Electrical Conductivity @25 C / WCK - Determination of Conductivity in Water [µS/cm],Nitrogen - total / WCK - Simultaneous Determination of Total Nitrogen and Total Phosphorus using Persulphate Digestion [mg/L],Nitrate + nitrite as N (NOx) / WCK - Determination of Oxidised Nitrogen Nitrate & Nitrite in Water [mg/L],Phosphorus - total / WCK - Simultaneous Determination of Total Nitrogen and Total Phosphorus using Persulphate Digestion [mg/L],Phosphorus - reactive (orthophosphate) - dissolved / WCK - Determination of Reactive Phosphorus [mg/L],Solids - total suspended @ 105 C / WCK - Total Suspended Solids at 105°C [mg/L],Turbidity / Field - Determination of turbidity by nephelometry using HACH turbidimeter [NTU],Oxygen - dissolved saturation / Field - Water quality sonde [% sat],pH / Field - Water quality sonde [---]
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,6/28/2016 11:45,230,1.1,0.42,0.24,0.14,13,34,,
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,8/18/2016 12:27,260,0.52,0.19,0.15,0.11,10,16.9,108,7.8
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,9/29/2016 11:18,340,0.36,0.01,0.099,0.068,10,5.4,101,8.1
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,10/26/2016 10:21,350,0.22,0.01,0.088,0.068,10,5.7,112,8.3
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,11/29/2016 8:57,330,0.28,0.01,0.14,0.12,10,6.8,119,8.2
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,12/20/2016 9:15,250,0.73,0.07,0.16,0.13,11,18.9,96.9,7.9
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,1/24/2017 9:39,277,0.356,0.02,0.161,0.132,10,7.9,106,8
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,2/23/2017 7:21,298,0.374,0.02,0.201,0.188,10,4.1,89.3,8
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,3/30/2017 9:31,152,0.785,0.24,0.272,0.23,24,343,102,7.4
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,4/27/2017 9:30,267,0.375,0.11,0.098,0.077,10,11.8,106,7.8
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,7/26/2017 10:38,290,0.26,0.07,0.073,0.06,10,6.9,109,
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,8/24/2017 11:03,340,0.16,0.02,0.048,0.048,10,4.5,102,8
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,9/28/2017 11:14,380,0.19,0.01,0.068,0.054,10,6.1,117,8.3
203004,RICHMOND RIVER AT CASINO,Richmond,Far North Coast,11/21/2017 11:59,280,0.33,0.01,0.13,0.079,12,12.7,97.5,7.8
